—	O
Rose	S-PER
!	O
	
Rose	S-PER
!	O
	
—	O
Pauvre	O
chat	O
!	O
…	O
la	O
dernière	O
fois	O
que	O
je	O
l’	O
ai	O
vue	O
,	O
c’	O
était	O
à	O
la	B-LOC
Gaîté	E-LOC
,	O
dans	O
la	O
grotte	O
…	O
Toutes	O
trois	O
se	O
penchèrent	O
,	O
très	O
intéressées	O
.	O
	
Les	O
arbres	O
les	O
gênaient	O
,	O
par	O
moments	O
les	O
torches	O
disparaissaient	O
sous	O
les	O
feuilles	O
.	O
	
Elles	O
tâchèrent	O
d’	O
apercevoir	O
ces	O
messieurs	O
,	O
en	O
bas	O
;	O
	
mais	O
la	O
saillie	O
d’	O
un	O
balcon	O
cachait	O
la	O
porte	O
;	O
et	O
elles	O
ne	O
distinguaient	O
toujours	O
que	O
le	B-PER
comte	I-PER
Muffat	E-PER
,	O
jeté	O
sur	O
le	O
banc	O
comme	O
un	O
paquet	O
sombre	O
,	O
le	O
visage	O
dans	O
son	O
mouchoir	O
.	O
	
Une	O
voiture	O
s’	O
était	O
arrêtée	O
,	O
Lucy	S-PER
reconnut	O
Maria	B-PER
Blond	E-PER
;	O
	
encore	O
une	O
qui	O
accourait	O
.	O
	
Elle	O
n’	O
était	O
pas	O
seule	O
,	O
un	O
gros	O
homme	O
descendait	O
derrière	O
elle	O
.	O
	
Mais	O
bientôt	O
elles	O
oublièrent	O
de	O
nouveau	O
.	O
	
Léa	B-PER
de	I-PER
Horn	E-PER
,	O
qui	O
avait	O
un	O
salon	O
politique	O
,	O
où	O
d’anciens	O
ministres	O
de	O
Louis-Philippe	S-PER
se	O
livraient	O
à	O
de	O
fines	O
épigrammes	O
,	O
reprit	O
très	O
bas	O
,	O
en	O
haussant	O
les	O
épaules	O
:	O
	
La	O
chambre	O
était	O
vide	O
.	O
	
Un	O
grand	O
souffle	O
désespéré	O
monta	O
du	O
boulevard	O
et	O
gonfla	O
le	O
rideau	O
.	O
	
—	O
Attends	O
donc	O
,	O
il	O
faut	O
voir	O
…	O
Chambre	O
401	O
,	O
chambre	O
401	O
…	O
	
—	O
	
Taisez	O
-vous	O
!	O
	
c’	O
est	O
idiot	O
,	O
vous	O
ne	O
savez	O
pas	O
ce	O
que	O
vous	O
dites	O
!	O
…	O
	
Moi	O
,	O
j’	O
ai	O
vu	O
Louis-Philippe	S-PER
,	O
une	O
époque	O
de	O
panés	O
et	O
de	O
grigous	O
,	O
ma	O
chère	O
.	O
	
Et	O
puis	O
est	O
venu	O
quarante-huit	O
.	O
	
Ah	O
!	O
	
une	O
jolie	O
chose	O
,	O
une	O
dégoûtation	O
,	O
leur	O
République	O
!	O
	
Après	O
février	O
,	O
j’	O
ai	O
crevé	O
la	O
faim	O
,	O
moi	O
qui	O
vous	O
parle	O
!	O
…	O
	
Mais	O
,	O
si	O
vous	O
aviez	O
connu	O
tout	O
ça	O
,	O
vous	O
vous	O
mettriez	O
à	O
genoux	O
devant	O
l’	O
empereur	O
,	O
car	O
il	O
a	O
été	O
notre	O
père	O
,	O
oui	O
,	O
notre	O
père	O
…	O
Blanche	B-PER
de	I-PER
Sivry	E-PER
fut	O
exaspérée	O
.	O
	
—	O
La	O
pauvre	O
fille	O
!	O
…	O
	
Je	O
vais	O
lui	O
serrer	O
la	O
main	O
…	O
	
Qu’a	O
-t	O
-elle	O
donc	O
?	O
	
—	O
	
Je	O
ne	O
sais	O
pas	O
,	O
ça	O
m’	O
a	O
donné	O
un	O
grand	O
coup	O
…	O
	
Nous	O
n’	O
avions	O
guère	O
été	O
gentilles	O
l’	O
une	O
pour	O
l’	O
autre	O
.	O
	
Eh	O
bien	O
!	O
	
vous	O
voyez	O
,	O
j’	O
en	O
suis	O
imbécile	O
…	O
	
Oh	O
!	O
toutes	O
sortes	O
d’	O
idées	O
,	O
une	O
envie	O
d’	O
y	O
passer	O
moi-même	O
,	O
la	O
fin	O
du	O
monde	O
…	O
Oui	O
,	O
j’	O
ai	O
besoin	O
d’	O
air	O
.	O
	
—	O
À	O
Berlin	S-LOC
!	O
	
à	O
Berlin	S-LOC
!	O
	
à	O
Berlin	S-LOC
!	O
	
—	O
Voyons	O
,	O
montez	O
-vous	O
avec	O
nous	O
?	O
	
lui	O
demanda	O
Lucy	S-PER
.	O
	
—	O
Ah	O
!	O
	
elle	O
est	O
changée	O
,	O
