Et	O
,	O
magistralement	O
,	O
il	O
mit	O
l’	O
argent	O
dans	O
sa	O
poche	O
.	O
Nana	S-PER
le	O
regardait	O
,	O
stupéfaite	O
.	O
Lui	O
,	O
continuait	O
avec	O
complaisance	O
:	O
—	O
Eh	O
bien	O
!	O
où	O
est	O
-elle	O
donc	O
?	O
laissa-t	O
-elle 	O
échapper	O
tout	O
haut	O
.	O
Alors	O
,	O
Fontan	S-PER
s’	O
installa	O
sur	O
la	O
table	O
,	O
avec	O
un	O
grand	O
déploiement	O
de	O
plume	O
,	O
d’	O
encre	O
et	O
de	O
papier	O
.	O
Il	O
arrondissait	O
les	O
bras	O
,	O
allongeait	O
le	O
menton	O
.	O
Mais	O
comme	O
Louiset	S-PER
arrivait	O
,	O
à	O
califourchon	O
sur	O
un	O
manche	O
à	O
balai	O
,	O
Prullière	S-PER
dit	O
avec	O
un	O
rire	O
méchant	O
:	O
—	O
Puisque	O
tout	O
le	O
monde	O
y	O
passe	O
…	O
Hein	O
?	O
pourquoi	O
ne	O
veux	O
-tu	O
pas	O
?	O
Un	O
soir	O
,	O
en	O
venant	O
prendre	O
Satin	S-PER
,	O
elle	O
reconnut	O
le	B-PER
marquis	I-PER
de	I-PER
Chouard	E-PER
qui	O
descendait	O
l’	O
escalier	O
,	O
les	O
jambes	O
cassées	O
,	O
se	O
traînant	O
sur	O
la	O
rampe	O
,	O
avec	O
une	O
figure	O
blanche	O
.	O
Elle	O
feignit	O
de	O
se	O
moucher	O
.	O
Puis	O
,	O
en	O
haut	O
,	O
comme	O
elle	O
trouvait	O
Satin	S-PER
dans	O
une	O
saleté	O
affreuse	O
,	O
le	O
ménage	O
lâché	O
depuis	O
huit	O
jours	O
,	O
un	O
lit	O
infect	O
,	O
des	O
pots	O
qui	O
traînaient	O
,	O
elle	O
s’	O
étonna	O
que	O
celle-ci	O
connût	O
le	O
marquis	O
.	O
Ah	O
!	O
oui	O
,	O
elle	O
le	O
connaissait	O
;	O
même	O
qu’	O
il	O
les	O
avait	O
joliment	O
embêtés	O
,	O
elle	O
et	O
son	O
pâtissier	O
,	O
quand	O
ils	O
étaient	O
ensemble	O
!	O
Maintenant	O
,	O
il	O
revenait	O
de	O
temps	O
à	O
autre	O
;	O
mais	O
il	O
l’	O
assommait	O
,	O
il	O
reniflait	O
dans	O
tous	O
les	O
endroits	O
pas	O
propres	O
,	O
jusque	O
dans	O
ses	O
pantoufles	O
.	O
Nana	S-PER
s’	O
était	O
résignée	O
,	O
pour	O
avoir	O
la	O
paix	O
dans	O
son	O
ménage	O
.	O
Puis	O
,	O
c’	O
était	O
la	O
faute	O
de	O
la	B-PER
Tricon	E-PER
,	O
qu’	O
elle	O
avait	O
rencontrée	O
rue	B-LOC
de	I-LOC
Laval	E-LOC
,	O
un	O
jour	O
que	O
Fontan	O
était	O
parti	O
furieux	O
,	O
à	O
cause	O
d’	O
un	O
plat	O
de	O
morue	O
.	O
Alors	O
,	O
elle	O
avait	O
dit	O
oui	O
à	O
la	O
Tricon	O
,	O
qui	O
justement	O
se	O
trouvait	O
en	O
peine	O
.	O
Comme	O
Fontan	S-PER
ne	O
rentrait	O
jamais	O
avant	O
six	O
heures	O
,	O
elle	O
disposait	O
de	O
son	O
après-midi	O
,	O
elle	O
rapportait	O
quarante	O
francs	O
,	O
soixante	O
francs	O
,	O
quelquefois	O
davantage	O
.	O
Elle	O
aurait	O
pu	O
parler	O
par	O
dix	O
et	O
quinze	O
louis	O
,	O
si	O
elle	O
avait	O
su	O
garder	O
sa	O
situation	O
;	O
mais	O
elle	O
était	O
encore	O
bien	O
contente	O
de	O
trouver	O
là	O
de	O
quoi	O
faire	O
bouillir	O
la	O
marmite	O
.	O
Le	O
soir	O
,	O
elle	O
oubliait	O
tout	O
,	O
lorsque	O
Bosc	S-PER
crevait	O
de	O
nourriture	O
,	O
et	O
que	O
Fontan	O
,	O
les	O
coudes	O
sur	O
la	O
table	O
,	O
se	O
laissait	O
baiser	O
les	O
yeux	O
,	O
de	O
l’	O
air	O
supérieur	O
d’	O
un	O
homme	O
qui	O
est	O
aimé	O
pour	O
lui-même	O
.	O
Elle	O
l’	O
écoutait	O
d’	O
un	O
air	O
embarrassé	O
.	O
Cependant	O
,	O
lorsqu’	O
il	O
lui	O
parla	O
de	O
Rose	S-PER
,	O
qui	O
triomphait	O
avec	O
sa	O
conquête	O
du	B-PER
comte	I-PER
Muffat	E-PER
,	O
une	O
flamme	O
passa	O
dans	O
ses	O
yeux	O
.	O
Elle	O
murmura	O
:	O
Au	O
fond	O
,	O
elle	O
enrageait	O
.	O
—	O
Dis	O
donc	O
,	O
tu	O
as	O
bien	O
mangé	O
mes	O
dix	O
mille	O
francs	O
…	O
C’	O
est	O
cochon	O
,	O
ça	O
!	O
—	O
La	O
police	O
!	O
dit	O
-elle	O
toute	O
blanche	O
.	O
Ah	O
!	O
nom	O
d’	O
un	O
chien	O
!	O
pas	O
de	O
chance	O
!	O
…	O
Nous	O
sommes	O
foutues	O
!	O
Cependant	O
,	O
il	O
y	O
avait	O
de	O
bonnes	O
aubaines	O
,	O
des	O
louis	O
attrapés	O
avec	O
des	O
messieurs	O
bien	O
,	O
qui	O
montaient	O
en	O
mettant	O
leur	O
décoration	O
dans	O
la	O
poche	O
.	O
Satin	S-PER
surtout	O
avait	O
le	O
nez	O
.	O
Les	O
soirs	O
humides	O
,	O
lorsque	O
Paris	S-LOC
mouillé	O
exhalait	O
une	O
odeur	O
fade	O
de	O
grande	O
alcôve	O
mal	O
tenue	O
,	O
elle	O
savait	O
que	O
ce	O
temps	O
mou	O
,	O
cette	O
fétidité	O
des	O
coins	O
louches	O
enrageaient	O
les	O
hommes	O
.	O
Et	O
elle	O
guettait	O
les	O
mieux	O
mis	O
,	O
elle	O
voyait	O
ça	O
à	O
leurs	O
yeux	O
pâles	O
.	O
C’	O
était	O
comme	O
un	O
coup	O
de	O
folie	O
charnelle	O
passant	O
sur	O
la	O
ville	O
.	O
Elle	O
avait	O
bien	O
un	O
peu	O
peur	O
,	O
car	O
les	O
plus	O
comme	O
il	O
faut	O
étaient	O
les	O
plus	O
sales	O
.	O
Tout	O
le	O
vernis	O
craquait	O
,	O
la	O
bête	O
se	O
montrait	O
,	O
exigeante	O
dans	O
ses	O
goûts	O
monstrueux	O
,	O
raffinant	O
sa	O
perversion	O
.	O
Aussi	O
cette	O
roulure	O
de	O
Satin	S-PER
manquait	O
-elle	O
de	O
respect	O
,	O
s’	O
éclatant	O
devant	O
la	O
dignité	O
des	O
gens	O
en	O
voiture	O
,	O
disant	O
que	O
leurs	O
cochers	O
étaient	O
plus	O
gentils	O
,	O
parce	O
qu’	O
ils	O
respectaient	O
les	O
femmes	O
et	O
qu’	O
ils	O
ne	O
les	O
tuaient	O
pas	O
avec	O
des	O
idées	O
de	O
l’	O
autre	O
monde	O
.	O
La	O
culbute	O
des	O
gens	O
chics	O
dans	O
la	O
crapule	O
du	O
vice	O
surprenait	O
encore	O
Nana	S-PER
,	O
qui	O
gardait	O
des	O
préjugés	O
,	O
dont	O
Satin	S-PER
la	O
débarrassait	O
.	O
Alors	O
,	O
comme	O
elle	O
le	O
disait	O
,	O
lorsqu’	O
elle	O
causait	O
gravement	O
,	O
il	O
n’	O
y	O
avait	O
donc	O
plus	O
de	O
vertu	O
?	O
Du	O
haut	O
en	O
bas	O
,	O
on	O
se	O
roulait	O
.	O
Eh	O
bien	O
!	O
ça	O
devait	O
être	O
du	O
propre	O
,	O
dans	O
Paris	S-LOC
,	O
de	O
neuf	O
heures	O
du	O
soir	O
à	O
trois	O
heures	O
du	O
matin	O
;	O
et	O
elle	O
rigolait	O
,	O
elle	O
criait	O
que	O
,	O
si	O
l’	O
on	O
avait	O
pu	O
voir	O
dans	O
toutes	O
les	O
chambres	O
,	O
on	O
aurait	O
assisté	O
à	O
quelque	O
chose	O
de	O
drôle	O
,	O
le	O
petit	O
monde	O
s’	O
en	O
donnant	O
par-dessus	O
les	O
oreilles	O
,	O
et	O
pas	O
mal	O
de	O
grands	O
personnages	O
,	O
çà	O
et	O
là	O
,	O
le	O
nez	O
enfoncé	O
dans	O
la	O
cochonnerie	O
plus	O
profondément	O
que	O
les	O
autres	O
.	O
Ça	O
complétait	O
son	O
éducation	O
.	O
—	O
Enfin	O
,	O
madame	O
nous	O
est	O
rendue	O
…	O
J’	O
attendais	O
madame	O
.	O
Nana	S-PER
hochait	O
la	O
tête	O
,	O
satisfaite	O
.	O
C’	O
était	O
l’	O
ancien	O
dîner	O
solide	O
d’	O
un	O
hôtel	O
de	O
province	O
:	O
vol-au-vent	O
à	O
la	O
financière	O
,	O
poule	O
au	O
riz	O
,	O
haricots	O
au	O
jus	O
,	O
crème	O
à	O
la	O
vanille	O
glacée	O
de	O
caramel	O
.	O
Ces	O
dames	O
tombaient	O
particulièrement	O
sur	O
la	O
poule	O
au	O
riz	O
,	O
éclatant	O
dans	O
leurs	O
corsages	O
,	O
s’	O
essuyant	O
les	O
lèvres	O
d’	O
une	O
main	O
lente	O
.	O
D’	O
abord	O
,	O
Nana	S-PER
avait	O
eu	O
peur	O
de	O
rencontrer	O
d’	O
anciennes	O
amies	O
qui	O
lui	O
auraient	O
fait	O
des	O
questions	O
bêtes	O
;	O
mais	O
elle	O
se	O
tranquillisa	O
,	O
elle	O
n’	O
apercevait	O
aucune	O
figure	O
de	O
connaissance	O
,	O
parmi	O
cette	O
foule	O
très	O
mélangée	O
,	O
où	O
des	O
robes	O
déteintes	O
,	O
des	O
chapeaux	O
lamentables	O
s’	O
étalaient	O
à	O
côté	O
de	O
toilettes	O
riches	O
,	O
dans	O
la	O
fraternité	O
des	O
mêmes	O
perversions	O
.	O
Un	O
instant	O
,	O
elle	O
fut	O
intéressée	O
par	O
un	O
jeune	O
homme	O
,	O
aux	O
cheveux	O
courts	O
et	O
bouclés	O
,	O
le	O
visage	O
insolent	O
,	O
tenant	O
sans	O
haleine	O
,	O
pendue	O
à	O
ses	O
moindres	O
caprices	O
,	O
toute	O
une	O
table	O
de	O
filles	O
,	O
qui	O
crevaient	O
de	O
graisse	O
.	O
Mais	O
,	O
comme	O
le	O
jeune	O
homme	O
riait	O
,	O
sa	O
poitrine	O
se	O
gonfla	O
.	O
Nana	S-PER
avait	O
donc	O
trouvé	O
le	O
moyen	O
de	O
suffire	O
à	O
tout	O
.	O
La	O
maison	O
,	O
certains	O
jours	O
,	O
regorgeait	O
de	O
nourriture	O
